max_connections,platform_max_num_threads,platform_mean_num_threads,virtual_max_num_threads,virtual_mean_num_threads,coroutines_max_num_threads,coroutines_mean_num_threads,goroutines_max_num_threads,goroutines_mean_num_threads
10,45,44,34,33,54,53,12,12
11,47,46,34,33,55,53,12,12
12,49,48,34,33,54,53,12,11
13,51,50,34,33,56,54,12,11
14,52,52,37,36,56,54,11,11
15,55,54,34,33,57,55,12,11
16,57,56,34,33,61,59,12,11
17,59,58,34,33,61,58,12,11
18,61,60,34,33,64,61,13,12
19,62,62,34,33,67,63,12,11
20,65,64,34,33,61,57,12,11
21,67,66,34,33,62,58,12,11
22,69,68,37,36,67,61,12,11
23,71,70,34,33,74,64,12,12
24,73,72,34,33,78,69,12,12
25,75,74,34,33,64,62,13,12
26,77,76,34,33,70,64,13,12
27,79,78,34,33,78,68,13,12
28,81,80,34,33,71,67,12,12
29,83,82,37,36,82,76,13,12
30,85,84,34,33,73,68,15,13
31,87,86,34,33,90,79,13,12
32,89,88,34,33,78,69,13,11
33,91,90,34,33,94,84,13,13
34,93,92,34,33,86,75,14,13
35,95,94,34,33,88,78,13,12
36,97,96,34,33,87,75,13,12
37,99,98,34,33,88,75,14,13
38,101,100,34,33,96,86,13,13
39,103,102,34,33,88,78,14,13
40,105,104,34,33,94,85,14,13
