max_connections,platform_max_postgres_cpu,platform_mean_postgres_cpu,virtual_max_postgres_cpu,virtual_mean_postgres_cpu,coroutines_max_postgres_cpu,coroutines_mean_postgres_cpu,goroutines_max_postgres_cpu,goroutines_mean_postgres_cpu
10,83,74,68,55,35,30,57,54
11,80,76,68,59,41,35,65,57
12,86,81,69,61,47,38,65,60
13,90,83,71,62,53,43,66,62
14,92,87,74,65,53,42,68,64
15,96,90,82,66,57,44,71,66
16,98,92,81,69,60,47,74,68
17,98,91,81,73,61,48,75,71
18,105,97,85,73,63,49,80,74
19,109,100,86,74,67,51,79,74
20,112,103,92,76,71,51,81,76
21,107,103,100,79,71,52,85,80
22,111,102,91,77,73,51,87,82
23,110,106,95,78,77,51,89,83
24,110,102,101,81,74,50,91,85
25,110,102,96,80,75,53,94,88
26,112,105,100,80,106,86,97,89
27,109,102,94,81,79,51,95,92
28,108,102,104,86,81,55,102,94
29,108,102,101,84,82,57,103,93
30,109,104,106,90,83,51,102,93
31,111,103,106,89,83,55,105,100
32,109,102,110,96,85,55,113,99
33,109,102,111,93,85,51,109,97
34,109,104,111,97,84,54,110,100
35,109,103,109,93,85,51,110,97
36,109,103,109,96,86,55,108,97
37,110,104,108,93,89,55,110,95
38,108,101,107,96,88,53,111,98
39,109,102,109,96,84,52,109,97
40,111,99,112,98,87,54,112,98
