max_depth,virtual_max_cpu_usage,virtual_mean_cpu_usage,platform_max_cpu_usage,platform_mean_cpu_usage,coroutines_max_cpu_usage,coroutines_mean_cpu_usage,goroutines_max_cpu_usage,goroutines_mean_cpu_usage
1,13.0,12.0,15,12,13.0,12.0,12.0,12.0
2,24.0,24.0,27,24,24.0,24.0,24.0,23.0
3,43.0,41.0,44,42,43.0,41.0,42.0,41.0
4,77.0,75.0,78,76,80.0,76.0,74.0,71.0
5,75.0,72.0,76,73,79.0,75.0,67.0,65.0
6,74.0,71.0,75,72,79.0,73.0,70.0,67.0
7,74.0,71.0,77,74,78.0,75.0,71.0,68.0
8,76.0,73.0,77,74,78.0,75.0,70.0,69.0
9,76.0,73.0,77,74,80.0,76.0,71.0,69.0
10,77.0,74.0,76,75,79.0,76.0,71.0,69.0
11,77.0,73.0,79,75,79.0,76.0,71.0,69.0
12,77.0,73.0,76,73,79.0,76.0,71.0,69.0
13,77.0,73.0,75,73,80.0,76.0,73.0,70.0
14,77.0,74.0,75,72,80.0,77.0,73.0,70.0
15,76.0,74.0,80,74,82.0,79.0,73.0,71.0
16,75.0,73.0,83,73,80.0,78.0,74.0,71.0
17,77.0,74.0,85,75,82.0,79.0,75.0,72.0
18,79.0,75.0,89,68,82.0,79.0,76.0,73.0
19,80.0,79.0,90,66,82.0,81.0,77.0,75.0
