max_depth,virtual_max_num_threads,virtual_mean_num_threads,platform_max_num_threads,platform_mean_num_threads,coroutines_max_num_threads,coroutines_mean_num_threads,goroutines_max_num_threads,goroutines_mean_num_threads
1,29.0,26.0,29,26,29.0,26.0,11.0,10.0
2,31.0,29.0,31,29,32.0,30.0,11.0,10.0
3,35.0,34.0,35,34,36.0,34.0,11.0,10.0
4,37.0,36.0,43,42,37.0,36.0,11.0,10.0
5,37.0,36.0,60,58,37.0,36.0,11.0,10.0
6,37.0,36.0,92,85,37.0,36.0,11.0,10.0
7,37.0,36.0,145,123,37.0,36.0,12.0,11.0
8,37.0,36.0,218,175,37.0,36.0,11.0,10.0
9,37.0,36.0,358,283,37.0,36.0,11.0,10.0
10,37.0,36.0,663,482,37.0,36.0,11.0,10.0
11,37.0,36.0,1131,852,37.0,35.0,12.0,11.0
12,37.0,36.0,1715,1378,37.0,36.0,12.0,11.0
13,38.0,37.0,2771,1742,37.0,36.0,12.0,11.0
14,38.0,37.0,4704,3062,37.0,36.0,11.0,10.0
15,39.0,38.0,8841,5078,37.0,35.0,11.0,10.0
16,37.0,36.0,17536,8960,38.0,35.0,12.0,11.0
17,37.0,36.0,29261,16461,37.0,36.0,12.0,11.0
18,37.0,36.0,47982,27480,38.0,36.0,12.0,11.0
19,38.0,37.0,68210,49881,37.0,35.0,12.0,11.0
