max_depth,virtual_max_cpu_usage,virtual_mean_cpu_usage,coroutines_max_cpu_usage,coroutines_mean_cpu_usage,goroutines_max_cpu_usage,goroutines_mean_cpu_usage
1,13,12,13,12,12,12
2,24,23,24,24,24,23
3,43,41,43,40,42,41
4,78,75,81,77,73,71
5,76,72,79,75,67,64
6,74,71,77,74,69,67
7,75,72,78,74,70,68
8,75,73,79,76,69,68
9,76,73,79,76,71,69
10,75,73,79,76,70,69
11,75,73,78,75,71,69
12,76,73,79,77,71,69
13,77,73,79,76,72,70
14,76,73,80,77,72,70
15,76,74,81,76,73,70
16,75,73,80,77,74,71
17,78,74,81,78,75,72
18,79,76,82,79,76,73
19,80,79,82,81,78,74
20,89,84,86,83,82,79
21,100,92,89,85,86,82
22,100,96,93,89,91,86
23,104,97,100,95,94,72
