max_depth,virtual_execution_time,coroutines_execution_time,goroutines_execution_time
1,134.0,177.9,127.6
2,81.6,91.0,71.2
3,52.8,64.8,46.1
4,37.8,45.4,35.6
5,38.1,46.1,36.2
6,38.7,46.6,35.3
7,37.8,47.7,35.0
8,37.7,45.8,34.8
9,37.7,48.5,34.6
10,37.3,47.0,34.6
11,37.0,47.0,34.8
12,37.2,49.0,35.1
13,37.2,46.4,35.7
14,37.6,48.5,35.9
15,36.1,44.6,36.5
16,40.1,46.6,37.4
17,42.8,45.6,39.2
18,44.2,47.1,42.7
19,52.5,52.7,49.1
20,71.2,64.5,64.2
21,168.2,78.0,95.2
22,543.9,106.0,166.2
23,1529.5,372.8,1279.5
