max_depth,virtual_max_memory_usage,virtual_mean_memory_usage,coroutines_max_memory_usage,coroutines_mean_memory_usage,goroutines_max_memory_usage,goroutines_mean_memory_usage
1,2201,2192,3845,3843,344,344
2,2212,2206,3847,3841,447,345
3,2213,2205,3849,3843,487,350
4,2213,2201,3849,3832,498,355
5,2214,2206,3849,3832,484,353
6,2217,2206,3854,3836,493,354
7,2218,2213,3852,3848,491,354
8,2217,2215,3851,3837,491,354
9,2217,2203,3855,3833,494,355
10,2213,2204,3851,3844,403,348
11,2094,2084,3855,3843,488,358
12,2088,2076,4079,4021,493,362
13,2090,2085,3929,3918,502,405
14,2093,2080,3855,3846,457,380
15,2103,2008,3864,3851,1239,714
16,2189,2090,3863,3845,1026,594
17,2210,2193,3868,3860,607,484
18,2452,2447,3897,3886,1208,868
19,4190,4166,3936,3930,1015,895
20,4240,4226,4103,4096,1375,1244
21,4288,4277,4191,4174,1888,1779
22,4360,4349,4240,4231,3555,3023
23,4387,4370,4278,4272,8554,5830
