max_depth,virtual_max_num_threads,virtual_mean_num_threads,coroutines_max_num_threads,coroutines_mean_num_threads,goroutines_max_num_threads,goroutines_mean_num_threads
1,29,26,29,26,10,9
2,31,29,32,30,11,10
3,36,35,36,34,11,10
4,37,36,37,36,11,10
5,37,36,37,36,11,10
6,37,36,37,36,11,10
7,37,36,37,36,11,10
8,37,36,37,36,11,10
9,37,36,37,36,11,10
10,37,36,37,36,12,11
11,37,36,37,35,11,10
12,37,36,37,36,12,11
13,38,36,37,36,11,10
14,38,37,37,36,12,11
15,38,38,37,36,12,11
16,37,36,37,36,12,11
17,37,36,38,36,11,10
18,37,36,38,36,11,10
19,43,42,37,36,12,11
20,39,37,37,36,12,11
21,45,42,41,39,11,10
22,44,42,45,42,12,10
23,44,42,44,42,12,11
